"gid","szs","szsq","szq","xzjb","yygs"
21675,北京市,北京市,大兴区,国家,中石油
21676,安徽省,池州市,贵池区,国家,中石化
21677,安徽省,宣城市,宣州区,国家,中石化
21678,浙江省,湖州市,吴兴区,国家,中石化
21679,北京市,北京市,房山区,国家,中石油
21680,安徽省,安庆市,怀宁县,国家,中石化
21681,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐县,国家,中石油
21682,山东省,泰安市,肥城市,国家,中石油
21683,浙江省,嘉兴市,秀洲区,国家,中石化
21684,宁夏回族自治区,吴忠市,盐池县,国家,中石油
21685,甘肃省,庆阳市,镇原县,国家,中石油
21687,河南省,三门峡市,陕州区,国家,中石油
21688,内蒙古自治区,乌兰察布市,察哈尔右翼前旗,国家,中石油
21689,河北省,张家口市,桥东区,国家,中石油
21690,陕西省,榆林市,靖边县,国家,中石油
21691,宁夏回族自治区,银川市,灵武市,国家,中石油
21692,宁夏回族自治区,中卫市,海原县,国家,中石油
21693,安徽省,马鞍山市,雨山区,国家,中石油
21694,江苏省,南通市,如东县,国家,中石油
21695,内蒙古自治区,呼和浩特市,和林格尔县,国家,中石油
21696,山西省,朔州市,应县,国家,中石油
21697,山西省,太原市,阳曲县,国家,中石油
