"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
21170,太仓分输站,"010102005000037",121.06239444381575,31.494630378516483,分输站,江苏省,苏州市,太仓市,国家,""
21189,锦州分输站,"010102005000328",121.23596101120042,41.02794898492869,分输站,辽宁省,锦州市,太和区,国家,中石油
21522,海门站,"010102005000313",121.31365119948973,31.898799884704818,分输站,江苏省,南通市,海门区,国家,""
21187,松岚分输站,"010102005000040",121.91654153362391,39.21334377046662,分输站,辽宁省,大连市,金州区,国家,中石油
29725,双6分输站,"010102005000275",121.97320982284305,41.09817636241059,分输站,辽宁省,盘锦市,大洼区,国家,中石油
21953,"6#","010102007000368",100.2246085990375,26.531522539215374,阀室,云南省,大理白族自治州,鹤庆县,国家,""
29847,王庆坨阀室,"010102007001591",116.91965857416992,39.181429746084916,阀室,天津市,天津市,武清区,,
31718,海城末站,"010102003000108",122.6833826087284,40.86740406930538,末站,辽宁省,鞍山市,海城市,,
34379,南阳站,"010102003000202",112.53774346367183,32.9790757816576,末站,河南省,南阳市,宛城区,,
31720,营口分输站,"010102005000403",122.61700417448166,40.69397684802978,分输站,辽宁省,营口市,大石桥市,,
28885,信阳富地羊山站,"010201020001065",114.12467591675016,32.17368823450198,LNG气化站,河南省,信阳市,平桥区,,
29846,黄花店阀室,"010102007001590",116.9039992211889,39.35841828898187,阀室,天津市,天津市,武清区,,
29848,独流阀室,"010102007001592",116.88884478607626,39.02767237393378,阀室,天津市,天津市,静海区,,
29849,梁头阀室,"010102007001593",116.849356870989,38.93349598111654,阀室,天津市,天津市,静海区,,
21262,上党输气站,"010102005000058",119.27949445491295,32.086222841241145,分输站,江苏省,镇江市,句容市,国家,中石化
30236,"6#阀室","010102007001595",117.69886817153582,39.59976503289079,阀室,河北省,唐山市,玉田县,,
30237,"5#阀室","010102007001596",117.48622247282383,39.640338559973586,阀室,天津市,天津市,宝坻区,,
30238,"4#阀室","010102007001597",117.40953308681274,39.55613291612566,阀室,天津市,天津市,宝坻区,,
30239,"7#阀室","010102007001598",117.81883132897424,39.59155463806927,阀室,河北省,唐山市,丰润区,,
30240,"3#阀室","010102007001599",117.31608280846642,39.51048454199668,阀室,天津市,天津市,宝坻区,,
30241,"2#阀室","010102007001600",117.13175560795754,39.4818683676685,阀室,天津市,天津市,武清区,,
30242,"1#阀室","010102007001601",117.04046541495018,39.46220436164113,阀室,天津市,天津市,武清区,,
31723,鞍山末站,"010102003000110",122.9856959220591,41.09890443030056,末站,辽宁省,鞍山市,东铁区,,
31726,辽阳县末站,"010102003000113",123.28928713110226,41.181457010202664,末站,辽宁省,辽阳市,辽阳县,,
31724,弓长岭末站,"010102003000111",123.42821284653441,41.16921546997292,末站,辽宁省,辽阳市,弓长岭区,,
31728,灯塔末站,"010102003000115",123.45929609777228,41.35715039861263,末站,辽宁省,辽阳市,灯塔市,,
31727,辽阳末站,"010102003000114",123.33525872119428,41.31102630456777,末站,辽宁省,辽阳市,文圣区,,
31725,辽阳石化末站,"010102003000112",123.36390224154526,41.24117575829531,末站,辽宁省,辽阳市,弓长岭区,,
31729,,"31729",123.25353848841945,41.22590684669831,,,,,,
